,ID_CLIENT,AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,TARGET,PERSONAL_INCOME,ID_LOAN,CLOSED_FL,ed_0,ed_1,ed_2,ed_3,ed_4,ed_5,ed_6
0,106805103,42,1,1,0,1,0,1,25000.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,106809308,28,1,1,1,1,0,0,10000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,106805867,64,0,2,0,1,1,0,30000.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,106808779,54,1,0,0,1,0,0,25000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,106814289,26,0,1,1,1,0,0,15000.0,2,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,106814758,63,1,2,0,0,1,0,7800.0,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,106804821,32,0,0,0,1,0,1,12000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,106814344,52,1,1,0,1,0,0,8000.0,3,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,106809579,47,0,2,0,1,0,0,10000.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,106813445,23,1,0,0,1,0,0,7000.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10,106812816,42,1,2,1,1,0,0,9000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11,106806676,31,1,0,0,1,0,0,12000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12,106813305,25,1,0,0,1,0,0,4900.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,106811087,37,1,2,2,1,0,0,20000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14,106809086,52,1,3,0,0,1,0,5500.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,106818497,46,1,2,0,1,0,0,55000.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,106805396,28,1,1,1,1,0,0,8500.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17,106810469,62,1,0,0,0,1,0,8000.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,106807246,50,0,1,0,1,0,0,20000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,106809151,30,1,2,2,1,0,1,5000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20,106806814,64,0,0,0,0,1,0,9000.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,106809097,41,1,0,0,1,0,0,6500.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22,106811950,27,1,0,0,1,0,0,7000.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23,106805618,41,1,0,0,1,0,0,8000.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24,106819249,30,1,0,0,1,0,0,15000.0,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,106818810,61,1,2,0,1,1,0,27000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,106816627,38,1,0,1,1,0,0,15000.0,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,106813813,51,1,0,0,1,0,0,6000.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,106810992,58,0,2,0,0,1,0,10500.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
29,106804376,35,0,1,1,1,0,0,15000.0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,106814732,45,0,2,1,1,0,0,20000.0,4,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0
31,106813352,25,1,0,0,1,0,0,9000.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
32,106808812,62,1,2,0,1,1,0,13000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33,106808912,30,1,1,1,1,0,0,11000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34,106807419,56,1,3,0,1,1,0,20000.0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,106810124,36,1,1,1,1,0,0,15000.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
36,106810291,55,1,2,0,1,0,0,13000.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,106806782,29,0,1,1,1,0,0,25000.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,106811473,32,0,2,1,1,0,0,21000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,106815597,36,0,1,1,1,0,0,15000.0,2,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,106806966,27,0,2,2,1,0,0,6500.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
41,106807263,41,0,3,2,1,0,0,10000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,106816932,54,1,2,0,0,1,0,6500.0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,106805731,52,0,1,0,1,0,0,30000.0,1,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,106815450,28,1,1,1,1,0,0,12000.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
